中心点的像素是：[97, 162, 190]
坐标位置为：[687,731]  [217, 163, 39]207.846
坐标位置为：[688,731]  [216, 162, 38]206.114
坐标位置为：[689,731]  [217, 163, 38]207.846
坐标位置为：[690,731]  [216, 165, 39]206.114
坐标位置为：[691,731]  [217, 166, 39]207.846
坐标位置为：[692,731]  [222, 171, 44]216.506
坐标位置为：[693,731]  [228, 178, 48]226.899
坐标位置为：[694,731]  [232, 183, 53]233.827
坐标位置为：[695,731]  [231, 182, 52]232.095
坐标位置为：[696,731]  [229, 180, 50]228.631
坐标位置为：[697,731]  [226, 177, 47]223.435
坐标位置为：[698,731]  [224, 175, 45]219.97
坐标位置为：[699,731]  [223, 174, 44]218.238
坐标位置为：[700,731]  [222, 173, 43]216.506
坐标位置为：[701,731]  [219, 170, 40]211.31
坐标位置为：[702,731]  [219, 170, 40]211.31
坐标位置为：[703,731]  [220, 171, 41]213.042
坐标位置为：[704,731]  [220, 171, 41]213.042
坐标位置为：[705,731]  [220, 171, 41]213.042
坐标位置为：[706,731]  [219, 170, 40]211.31
坐标位置为：[707,731]  [220, 171, 41]213.042
坐标位置为：[708,731]  [220, 171, 41]213.042
坐标位置为：[709,731]  [221, 172, 42]214.774
坐标位置为：[710,731]  [219, 170, 42]211.31
坐标位置为：[711,731]  [218, 169, 41]209.578
坐标位置为：[712,731]  [218, 169, 41]209.578
坐标位置为：[713,731]  [220, 171, 43]213.042
坐标位置为：[714,731]  [219, 170, 42]211.31
坐标位置为：[715,731]  [217, 168, 40]207.846
坐标位置为：[716,731]  [218, 167, 40]209.578
坐标位置为：[717,731]  [219, 168, 41]211.31
坐标位置为：[718,731]  [221, 168, 41]214.774
坐标位置为：[719,731]  [220, 167, 40]213.042
